,zone,id,distance,density
1478,S,UV-3,390.0,2.06947
1479,S,UV-3,395.0,2.06947
1480,S,UV-3,400.0,1.03473
1481,S,UV-3,405.0,1.03473
1482,S,UV-3,410.0,1.5521
1483,S,UV-3,415.0,1.03473
1484,S,UV-3,420.0,2.06947
1485,S,UV-3,425.0,1.03473
1486,S,UV-3,430.0,0.517367
1487,S,UV-3,435.0,0.0
1488,S,UV-3,440.0,0.517367
1489,S,UV-3,445.0,0.517367
1490,S,UV-3,450.0,0.0
1491,S,UV-3,455.0,0.517367
1492,S,UV-3,460.0,0.517367
1493,S,UV-3,465.0,0.0
1494,S,UV-3,470.0,0.0
1495,S,UV-3,475.0,0.517367
1496,S,UV-3,480.0,0.0
1497,S,UV-3,485.0,0.0
1498,S,UV-3,490.0,1.03473
1499,S,UV-3,495.0,0.0
1500,S,UV-4,0.0,0.507174
1501,S,UV-4,5.0,0.0
1502,S,UV-4,10.0,0.0
1503,S,UV-4,15.0,0.0
1504,S,UV-4,20.0,0.507174
1505,S,UV-4,25.0,1.52152
1506,S,UV-4,30.0,3.04304
1507,S,UV-4,35.0,5.57891
1508,S,UV-4,40.0,9.12913
1509,S,UV-4,45.0,5.57891
1510,S,UV-4,50.0,3.04304
1511,S,UV-4,55.0,1.01435
1512,S,UV-4,60.0,2.53587
1513,S,UV-4,65.0,2.0287
1514,S,UV-4,70.0,1.01435
1515,S,UV-4,75.0,1.52152
1516,S,UV-4,80.0,2.0287
1517,S,UV-4,85.0,3.55022
1518,S,UV-4,90.0,1.01435
1519,S,UV-4,95.0,4.56457
1520,S,UV-4,100.0,2.0287
1521,S,UV-4,105.0,3.04304
1522,S,UV-4,110.0,2.0287
1523,S,UV-4,115.0,0.507174
1524,S,UV-4,120.0,2.0287
1525,S,UV-4,125.0,1.01435
1526,S,UV-4,130.0,5.07174
1527,S,UV-4,135.0,1.52152
1528,S,UV-4,140.0,2.0287
1529,S,UV-4,145.0,2.0287
1530,S,UV-4,150.0,2.0287
